Block;Run;Comments;Temperature cooling drum;dry coat weight 8 passes;length of roll;Tochter;trimming;number of layers;U/W Ten. Average 8 layers;R/W Ten. Average 8 layers;boat power;Std.Abw. boat power;resistivity;wire feed rate;solid content of ink (release coat);normalized wire feed rate;cylinder;evaporation pressure;erwartete Qualitätsstufe;d10;d50;d90;span;release coat in final product;release coat / Oberfläche;Al(0);toluene (bath);Gloss 20°;Dullness;hiding dE110°;L*-15°;L*15°;L*25°;L*45°;L*75°;L*110°;a*-15°;a*15°;a*25°;a*45°;a*75;a*110°;b*-15°;b*15°;b*25°;b*45°;b*75°;b*110°;Flop;STEM average particle thickness;STEM T-span;particles < 12 nm;particles < 20 nm;particles > 35 nm;Rheology flow point;Rheology LVE area;yield in production;GC (foil) Aceton;GC (foil) Butanon;GC (foil) Toluol
Block 1;39;7-733 6-13290;0;2.2;40000;Tochter2;nein;8;550;367.5;8.583;0.414;2.5;112.76;11.41;1.461;neu;0.0022;;10.9;22.8;38.5;1.211;6.098;1.943;71.08;;303.07;61.08;12.79;132.06;104.36;55.52;22.68;12.51;10.01;0.86;0.05;0.56;0.5;0.67;0.41;1.23;1.33;2.13;1.82;0.49;0.79;28.57;23.6;0.16;0;;1.69;749.65;1623.4;;;;
Block 1;40;7-630 6-11204;0;1.76;40000;Tochter1;nein;8;537.5;362.5;8.746;0.357;3.108;111.13;8.49;1.349;alt;0.00324;;10.03;21.87;37.77;1.27;6.59;;69.87;;211.18;64.8;9.5;137.98;109.77;;24.75;;13.86;-0.13;-0.38;;0.34;;;1.47;1.85;;1.71;1;;26.99;20.9;0.18;0.3;22.7;3.2;1044.3;5967.5;;;;
Block 1;41;7-631 6-11199;0;1.77;40000;Tochter1;nein;8;537.5;362.5;8.809;0.393;3.098;100.288;8.49;1.349;alt;0.00307;;10.02;21.28;35.88;1.22;6.54;;70.49;;227.4;63.3;8.85;135.8;107.36;;24.16;;13.39;0.08;-0.18;;0.41;;;2.25;2.31;;1.83;1.15;;26.93;20.5;0.19;1;34.7;0.5;1086;4553.1;;;;
Block 1;42;7-647 6-11731;0;1.88;40000;Tochter1;nein;8;537.5;350;9.188;0.28;2.919;111.177;8.54;1.435;alt;0.00463;;10.38;21.9;37.4;1.23;6.25;;71.37;;232.53;63.92;9.8;136.47;108.21;58.15;24.17;13.57;11.31;0.46;0;0.62;0.52;0.65;;2.43;2.4;2.86;2.05;0.81;1.22;27.86;24.3;0.1;0;1.65;3.29;1073.3;3800;;;;
Block 1;43;7-654 6-11735;0;1.99;40000;Tochter1;nein;8;534.4;343.8;9.193;0.367;2.572;121.139;8.55;1.574;alt;0.00499;;10.16;21.79;37.01;1.23;5.1;;76.19;;236.07;64.38;11.3;139.51;111.27;61.13;26.14;14.95;12.77;0.69;-0.03;0.48;0.52;0.64;0.35;1.2;1;2.2;2.03;0.77;1.08;26.52;25.5;0.12;0;1.56;5.73;924.47;4432.9;;;;
Block 1;44;7-630 6-11205;0;1.76;40000;Tochter2;nein;8;537.5;362.5;8.746;0.357;3.108;111.13;8.49;1.349;alt;0.00324;;10.61;22.58;38.55;1.24;6.81;;70.64;;236.74;62.8;8.92;134.16;105.52;;22.92;;12.47;0.15;-0.13;;0.37;;;2.59;2.58;;1.71;0.95;;27.88;21.7;0.14;0;8.9;3;1331.1;4623.5;;;;
Block 1;45;7-631 6-11209;0;1.77;40000;Tochter2;nein;8;537.5;362.5;8.809;0.393;3.098;100.288;8.49;1.349;alt;0.00307;;9.98;21.03;35.66;1.22;6.11;;70.13;;225.51;63.5;6.47;134.65;106.54;;23.48;;13.02;-0.31;-0.44;;0.3;;;1.91;2.34;;1.72;0.99;;27.46;21.6;0.12;0;6.6;2.1;1150;5806.1;;;;
Block 1;46;7-647;0;1.88;40000;Tochter2;nein;8;537.5;350;9.188;0.28;2.919;111.177;8.54;1.435;alt;0.00463;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Block 1;47;7-654 6-13184;0;1.99;40000;Tochter2;nein;8;534.4;343.8;9.193;0.367;2.572;121.139;8.55;1.574;alt;0.00499;;10.2;22.4;40;1.32;5.8;;70.5;;214.5;64.66;14.54;141.87;113.5;62.46;26.46;15.09;12.7;0.7;-0.22;0.35;0.49;0.59;0.3;0.2;0.1;2.15;2.06;0.68;0.8;26.94;24.49;0.28;0;2.46;5.91;832.83;3229.8;;;;
Block 1;48;7-218 6-9538;0;2.23;40000;Tochter1;nein;8;516.7;375;8.923;0.492;3.108;112.221;6.75;1.56;alt;0.00042;;10.4;22.3;38.8;1.27;4.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
