Block;Run;Comments;Temperature cooling drum;dry coat weight 8 passes;length of roll;Tochter;trimming;number of layers;U/W Ten. Average 8 layers;R/W Ten. Average 8 layers;boat power;Std.Abw. boat power;resistivity;wire feed rate;solid content of ink (release coat);normalized wire feed rate;cylinder;evaporation pressure;erwartete Qualitätsstufe;d10;d50;d90;span;release coat in final product;release coat / Oberfläche;Al(0);toluene (bath);Gloss 20°;Dullness;hiding dE110°;L*-15°;L*15°;L*25°;L*45°;L*75°;L*110°;a*-15°;a*15°;a*25°;a*45°;a*75;a*110°;b*-15°;b*15°;b*25°;b*45°;b*75°;b*110°;Flop;STEM average particle thickness;STEM T-span;particles < 12 nm;particles < 20 nm;particles > 35 nm;Rheology flow point;Rheology LVE area;yield in production;GC (foil) Aceton;GC (foil) Butanon;GC (foil) Toluol
Block 1;84;7-581 6-12300;0;2.03;40000;Tochter1;nein;8;540.6;365.6;8.667;0.466;3.102;103.304;8.48;1.439;alt;0.00181;;10.5;21.8;39;1.27;6.6;;69.9;;269.3;;8.13;133.19;105.1;55.83;22.8;12.65;10.2;0.7;0.18;0.64;0.49;0.62;0.3;2.76;2.6;2.64;1.8;0.53;0.87;28.6;23.4;0.3;0;3.01;1.13;885.19;1878.8;;;;
Block 1;85;7-581 6-12236;0;2.03;40000;Tochter2;nein;8;540.6;365.6;8.667;0.466;3.102;103.304;8.48;1.439;alt;0.00181;;10.35;22;34.6;1.27;6.4;;70.6;;279.44;;7.52;132.6;104.6;55.99;22.99;12.7;10.2;0.7;0.16;0.6;0.5;0.63;0.3;2.5;2.24;2.49;1.86;0.53;0.88;28.28;23.3;0.26;0;4.17;2.38;1288.5;2706.9;;;;
Block 1;86;7-650 6-12862;0;1.96;40000;Tochter1;nein;8;537.5;361.25;9.144;0.391;2.976;106.251;8.51;1.433;alt;0.029;;10.05;21.89;38.85;1.29;7.3;;69;;246.09;63.64;9.01;136.7;108.3;57.48;23.1;12.52;9.9;0.5;-0.11;0.46;0.4;0.65;0.3;1.6;1.6;2.19;1.7;0.52;0.8;29.42;22.38;0.44;0.76;10.91;3.05;1006;3531.6;;;;
Block 1;87;7-650 6-12791;0;1.96;40000;Tochter2;nein;8;537.5;361.25;9.144;0.391;2.976;106.251;8.51;1.433;alt;0.029;;10.69;22.48;38.37;1.23;6.5;;69.6;;232.86;63.04;8.5;135.8;107.3;57.4;22.9;12.39;9.87;0.37;-0.2;0.18;0.4;0.63;0.2;1.4;1.1;1.85;1.7;0.5;0.76;29.33;21.3;0.42;0.55;18.84;3.88;1048.6;3837.8;;;;
Block 1;88;7-985/ Bad 16/248/ 6-14533;0;2.26;40000;Tochter1;ja;8;512.5;381.25;9.818;0.687;2.722;126.09;11.11;1.643;neu;0.00299;;10.2;22.8;39.2;1.25;5.4;;72.9;;254.01;62.38;13.37;137.01;108.44;58.28;23.69;13.18;10.72;1.12;0.16;0.46;0.52;0.58;0.32;1.31;1.23;2.03;1.85;0.32;0.47;28.61;24.92;0.16;0;4;2;1125.8;2151.4;;;;
Block 1;89;7-985/ Bad 14/238/ 6-14772;0;2.26;40000;Tochter2;ja;8;512.5;381.25;9.818;0.687;2.722;126.09;11.11;1.643;neu;0.00299;;10.7;22.5;38.7;1.25;5.2;;74.85;;262.88;62.58;12.65;136.64;108.3;58.72;24.77;14.03;11.67;0.95;0.04;0.46;0.49;0.6;0.35;1.05;1.01;1.91;1.86;0.48;0.79;27.19;25.28;0.18;0;4.98;1.78;1046.6;2454.1;;;;
Block 1;90;7-986/ Bad 15/237/ 6-14623;0;2.27;40000;Tochter1;ja;8;518.75;381.25;9.942;0.581;2.233;121.81;11.2;1.632;neu;0.00269;;10.3;21.5;36.1;1.2;5.3;;74.8;;249.64;63.62;14.26;137.93;109.3;58.74;24.25;13.58;11.17;1.09;0.16;0.48;0.5;0.57;0.33;1.36;1.35;1.99;1.84;0.33;0.52;28.17;25.36;0.16;0;3.21;2.56;970.97;2282.5;;;;
Block 1;91;7-986;0;2.27;40000;Tochter2;ja;8;518.75;381.25;9.942;0.581;2.233;121.81;11.2;1.632;neu;0.00269;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Block 1;92;7-987/ Bad 15/239/ 6-14940;-8;2.31;40000;Tochter1;ja;8;512.5;384.38;9.964;0.711;2.284;122.72;11.01;1.612;neu;0.00289;;10.2;21.9;37.8;1.26;5.3;;74.6;;235.45;64.1;11.28;139.24;111.16;61.02;26.6;15.39;12.98;0.93;-0.07;0.35;0.46;0.53;0.34;0.57;0.74;1.59;1.94;0.53;0.71;26.03;25.7;0.13;0;3.31;4.42;1027;1957.2;;;;
Block 1;93;7-987;-8;2.31;40000;Tochter2;ja;8;512.5;384.38;9.964;0.711;2.284;122.72;11.01;1.612;neu;0.00289;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Block 1;94;7-988/ Bad 17/289/ 6-14749;-10;2.06;40000;Tochter1;ja;8;536.88;387.5;9.829;0.517;2.366;114.27;10.99;1.572;neu;0.00247;;10.3;22.2;38.7;1.28;5.6;;74.21;;237.04;64.12;13.38;139.33;110.87;59.87;24.82;13.84;11.39;0.93;0.01;0.36;0.47;0.55;0.28;1.05;1.07;1.84;1.88;0.38;0.59;28.04;24.79;0.16;0;0;5.39;1023.1;2723.8;;;;
Block 1;95;7-988;-10;2.06;40000;Tochter2;ja;8;536.88;387.5;9.829;0.517;2.366;114.27;10.99;1.572;neu;0.00247;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Block 1;96;7-989/ Bad 16/249/ 6-14666;-10;2.05;40000;Tochter1;ja;8;539.38;387.5;9.817;0.486;2.352;118.16;10.99;1.564;neu;0.00251;;10.5;22.7;39;1.25;6.4;;74.01;;236.97;63.64;16.06;137.97;109.76;59.19;24.93;14.53;12.13;0.74;-0.26;0.23;0.39;0.44;0.18;0.39;0.96;1.83;1.77;0.34;0.4;27.35;24.8;0.19;0;2.05;4.78;701.8;1074.3;;;;
Block 1;97;7-989/ Bad 17/291/ 6-15007;-10;2.05;40000;Tochter2;ja;8;539.38;387.5;9.817;0.486;2.352;118.16;10.99;1.564;neu;0.00251;;10.4;22.4;38.8;1.26;6.2;;74.29;;249.73;64.18;11.46;141.77;112.99;59.76;24.26;13.68;11.21;0.75;-0.3;0.32;0.43;0.51;0.26;0.3;0.79;1.94;1.89;0.36;0.48;29.33;24.79;0.12;0;2.46;2.05;981.3;1805.1;;;;
Block 1;98;7-990;-10;2.05;40000;Tochter1;ja;8;541.25;381.25;9.899;0.542;2.256;120.86;11.02;1.565;neu;0.00263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Block 1;99;7-990;-10;2.05;40000;Tochter2;ja;8;541.25;381.25;9.899;0.542;2.256;120.86;11.02;1.565;neu;0.00263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Block 1;100;7-991/ Bad 16/251/ 6-14926;0;1.67;40000;Tochter1;ja;8;525;378.13;9.85;0.787;2.373;122.4;8.69;1.575;alt;0.00257;;10.6;22.4;38.7;1.25;5.05;;73.74;;263.35;;9.02;137.45;110.18;60.14;25.26;14.27;11.8;0.64;-0.21;0.35;1.73;0.55;0.3;0;0.24;1.82;1.73;0.42;0.69;27.27;24;0.19;0.7;8.36;1.39;1185.7;2195.5;;;;
Block 1;101;7-991/ Bad 16/252 / 6-15004;0;1.67;40000;Tochter2;ja;8;525;378.13;9.85;0.787;2.373;122.4;8.69;1.575;alt;0.00257;;10;22.2;38.6;1.29;5.6;;73.1;;230.72;64.26;8.61;141.48;112.73;61.58;26.43;15.02;12.63;0.75;0.01;0.61;0.53;0.63;0.41;1.54;2.08;2.78;2.18;0.73;0.94;26.74;24.7;0.12;0;1.24;1.86;861.41;2174.7;;;;
Block 1;102;7-992/ Bad 14/258/ 6-14592;0;1.82;40000;Tochter1;ja;8;515;375;9.651;0.706;3.086;116.45;8.69;1.581;alt;0.00252;;10.8;22.7;38.7;1.23;5.4;;75.4;;257.78;62.58;14.42;137.57;109.39;59.08;24.66;13.88;11.51;0.93;0.23;0.69;0.55;0.66;0.37;1.83;1.72;2.41;1.89;0.51;0.91;27.69;24.48;0.14;0;3.7;2.12;1179.6;2280;;;;
Block 1;103;7-992;0;1.82;40000;Tochter2;ja;8;515;375;9.651;0.706;3.086;116.45;8.69;1.581;alt;0.00252;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Block 1;104;7-996/ Bad 17/290 / 6-14853;-6;1.9;40000;Tochter1;ja;8;525;375;10.026;0.528;2.206;123.97;8.65;1.58;alt;0.00253;;10.3;21.5;36.1;1.2;5.3;;74.8;;249.64;63.62;14.26;137.93;109.3;58.74;24.25;13.58;11.17;1.09;0.16;0.48;0.5;0.57;0.33;1.36;1.35;1.99;1.84;0.33;0.52;28.17;25.36;0.16;0;3.21;2.56;970.97;2282.5;;;;
Block 1;105;7-996;-6;1.9;40000;Tochter2;ja;8;525;375;10.026;0.528;2.206;123.97;8.65;1.58;alt;0.00253;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Block 1;106;7-997/ Bad 14/260/ 6-14839;-10;1.99;40000;Tochter1;ja;8;546.88;390.63;9.72;0.803;2.276;117.43;8.75;1.629;alt;0.00238;;10.6;21.9;36.6;1.19;5.3;;75.69;;237.86;62.56;9.35;140.75;112.54;61.04;25.62;14.5;12.11;0.86;-0.04;0.53;0.52;0.59;0.37;0.42;0.96;2.29;2.01;0.55;0.76;27.57;25.63;0.13;0;2.08;2.6;915.3;2243.4;;;;
Block 1;107;7-997;-10;1.99;40000;Tochter2;ja;8;546.88;390.63;9.72;0.803;2.276;117.43;8.75;1.629;alt;0.00238;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Block 1;108;7-998;-4;1.99;40000;Tochter1;ja;8;545;390.63;9.506;0.719;2.328;113.86;8.76;1.618;alt;0.00228;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Block 1;109;7-998;-4;1.99;40000;Tochter2;ja;8;545;390.63;9.506;0.719;2.328;113.86;8.76;1.618;alt;0.00228;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Block 1;110;7-999 / Bad / 6-14689;-10;2;40000;Tochter1;ja;8;541.88;390.63;9.329;0.708;2.324;99.54;8.76;1.634;alt;0.00235;;10.8;22;36.4;1.16;5.4;;73.89;;245.81;64;15.98;138.79;109.61;58.41;24.29;14.19;11.86;0.95;-0.06;0.4;0.42;0.49;0.24;0.55;1;1.94;1.67;0.29;0.41;28.01;26.04;0.16;0;2.46;4.92;739.4;2274.8;;;;
Block 1;111;7-999;-10;2;40000;Tochter2;ja;8;541.88;390.63;9.329;0.708;2.324;99.54;8.76;1.634;alt;0.00235;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Block 1;112;7-1048 / Bad 17/294 / 7-1048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Block 1;113;7-1049 / Bad 17/293 / 6-15197;0;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Block 1;114;7-1052 / Bad /;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Block 1;115;7-1060 / Bad / 6-15114;0;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Block 1;116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Block 1;117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Block 1;118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Block 1;119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Block 1;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Block 1;121;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
